id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
5256,HelloWallet,software,1,0,0,0,,USA,Washington DC,2010,2012,3,16150000,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2009
5257,SyncFu,ecommerce,1,0,0,0,,ISR,Israel - Other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5258,Newforma,software,1,0,0,0,,USA,Manchester,2005,2013,3,21100000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,2003
5259,Nomis Solutions,software,1,0,0,0,,USA,SF Bay,2005,2013,3,21000000,5,1,9,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,2002
5260,Spiral Universe,software,1,0,0,0,,USA,New York,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
5261,CTOsOnTheMove.com,other,1,0,0,0,,USA,New York,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5262,1010data,software,1,0,0,0,,USA,New York,2010,2010,1,35000000,1,1,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2000
5263,Toodalu,mobile,1,0,0,0,,USA,Chicago,2010,2010,1,250000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5264,Fracture,ecommerce,1,0,0,0,,USA,Gainesville,2012,2013,2,1250000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5265,Locomatix,mobile,1,0,0,0,,USA,SF Bay,,,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
5266,BrightEdge,search,1,0,0,0,,USA,SF Bay,2008,2013,4,61900000,1,4,8,1,0,0,9,4,2,2,1,0,0,0,1,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0,2007
5267,PlumWillow,web,0,0,0,1,2013,USA,United States - Other,2010,2011,2,705000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5268,Stickybits,web,0,0,0,1,2012,USA,New York,2010,2010,2,1900000,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,2009
5269,Eleven Biotherapeutics,biotech,1,0,0,0,,USA,Boston,2010,2012,2,55000000,6,0,1,0,0,0,8,1,2,0,0,1,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,2010
5270,AppFirst,analytics,1,0,0,0,,USA,New York,2010,2012,4,15200000,1,0,5,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2009
5271,SocialVolt,software,1,0,0,0,,USA,Kansas City,2011,2011,2,1315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5272,Quark Games,games_video,1,0,0,0,,USA,SF Bay,,,0,0,0,1,0,0,0,0,1,0,4,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
5273,Payfone,mobile,1,0,0,0,,USA,New York,2008,2013,4,40000000,1,4,3,2,1,0,7,2,1,1,1,0,0,0,2,2,0,0,3,7,1,0,0,0,0,0,0,0,0,0,2008
5274,Movaris,software,1,0,0,0,,USA,SF Bay,2005,2006,2,16000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1998
5275,EventNow,web,1,0,0,0,,USA,New York,,,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5276,FindTheBest,search,1,0,0,0,,USA,Santa Barbara,2010,2013,3,17000000,4,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2009
5277,BoomStartup,consulting,1,0,0,0,,USA,Salt Lake City,,,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010
5278,Alphabird,advertising,1,0,0,0,,USA,Los Angeles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009
5279,Overstat,software,0,1,0,0,,USA,SF Bay,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2011
5280,Monitis,network_hosting,1,0,0,0,,USA,SF Bay,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
5281,Junction Solutions,software,1,0,0,0,,USA,Denver,2007,2007,1,7500000,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2001
